Video ID,Comment
IspanQQOYM0,Trending #1 on YouTube 💥💥
IspanQQOYM0,Brawlers are the biggest chokers in the history of pubg Mobile.
IspanQQOYM0,7:05:31 mortal u have achieved everything man 😘
IspanQQOYM0,Crucial day for everyone tomorrow....pray for soul🤞
IspanQQOYM0,No 1 trending on YT pubG just rocks all over india
IspanQQOYM0,"I support all indian teams 
But my favourite team is soul 
No matter how they play but my first favourite team will always be soul

Nd i dont spread hate to any other team"
IspanQQOYM0,6:42:30 For Overall Standings 👍..
IspanQQOYM0,"#1 in trending... 
What an achievement for Indian Gaming Community 🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳❤️❤️"
IspanQQOYM0,"6:41:14 Final standings.
I saved ur time"
IspanQQOYM0,Wow zed is the new definition of aggression in indian pubg.
zpXnmy-6w1g,"Outstanding! What a trailer, Was missing a grand scale film by ashutosh gowariker❤️"
zpXnmy-6w1g,You can't give a role of Maharaja to someone who just ate a Maharaja Mac.
zpXnmy-6w1g,Sanjay dutt is the only one who is fitting in this film like for sanjay
zpXnmy-6w1g,"Who is best to do the role of Peshwa??

Ranveer Singh = Like
Arjun Kapoor = Comment. ."
zpXnmy-6w1g,I think Arjun should just try to act once...in his life...
zpXnmy-6w1g,"Director: This will be a block buster movie.
Arjun: Wait for my shit bro."
zpXnmy-6w1g,I don't know why I'm getting laugh while seeing Arjun kapoor in this role....
zpXnmy-6w1g,He must be on Drugs Who has casted Arjuna for this role .
zpXnmy-6w1g,"i dont know why i am laughing...

a few moments later i realized 
.
reason is ARJUN KAPOOR"
zpXnmy-6w1g,When I saw Arjun kappor 😂😂😂😂😂 I’d rather have Karenna kappor then arjun kappor🤣🤣🤣
_Dx9Qjod0s0,"Bheed mein saath mein chalte they 
Aur abhi kho gaye..
Itne they paas hum aur ab
Ajnabee ho gaye.. </3

Please share this song with your friends and family! Your support means the world to me :)
Keep Sharing, Keep Loving! <3"
_Dx9Qjod0s0,"I've heard and liked all your songs but only two songs are nearest to my heart and all time favorite:
1.Sang Hoon Tere
2.Ajnabee"
_Dx9Qjod0s0,"Even after the video was finished i was still watching the screen that if there is any thing remains....Like why its get ended.!
Love this Song..
Love from Varanasi ❤😍❤😍"
_Dx9Qjod0s0,I was imagining my life with my crush  in future while listening to this song............awesome song bhuvam bhaiyaa
_Dx9Qjod0s0,"When I realise that one day I will be old...My heart just says man ""Nope"""
_Dx9Qjod0s0,Gonna take over pmco stream after some hours in trending section
_Dx9Qjod0s0,This guy always drops a nuclear to destroy our sadness ❤️❤️ love from nepal 🤗🤗🤗🤗🤗🤗🤗🤗🤗🤗🤗🤗🤗🤗🤗🤗🤗🤗🤗🤗
_Dx9Qjod0s0,"Guys i kind of did not understand the ending 
Are the 2 not married
And why did she run away"
_Dx9Qjod0s0,"From lyrics to the composition, from singing to the music, it's completely well carved piece of music, a finely crafted song❤️.
Keep making such great music!"
_Dx9Qjod0s0,"I closed my eyes and heard the song. I don't know when the song ended. I don't want it to end. So I autoplayed it repeatedly... 
Loved it so so soooo much 💓💓..Thanks for giving our hearts a beautiful beat in the form of this song... 💖💖😊"
